adjective,sae_mean,aae_mean,delta_aae_minus_sae,abs_delta
depressed,-0.006141142778926426,0.004384083218044705,0.01052522599697113,0.01052522599697113
anxious,-0.0051127869221899245,0.0020954513549804685,0.007208238277170393,0.007208238277170393
confused,-0.00397210160891215,-0.0032990153630574545,0.0006730862458546958,0.0006730862458546958
calm,-0.00798676093419393,-0.0076276887787712945,0.00035907215542263504,0.00035907215542263504
logical,-1.681653957348317e-05,-2.2451067343354225e-06,1.4571432839147746e-05,1.4571432839147746e-05
neat,-2.0205317559884862e-05,-1.4011401476131545e-05,6.193916083753317e-06,6.193916083753317e-06
slowed,-4.6254147309809926e-06,-3.905666785107719e-06,7.197479458732738e-07,7.197479458732738e-07
