adjective,sae_mean,aae_mean,delta_aae_minus_sae,abs_delta
depressed,0.0008252775686560199,0.009709452473325655,0.008884174904669636,0.008884174904669636
confused,0.004474752292910125,0.003490522552689072,-0.0009842297402210534,0.0009842297402210534
anxious,0.0019064637729898095,0.0015381376575678586,-0.00036832611542195084,0.00036832611542195084
paranoid,-0.0005871419993709423,-0.00045176406852988295,0.0001353779308410594,0.0001353779308410594
calm,-8.100500082946382e-05,1.8848592400900087e-05,9.98535932303639e-05,9.98535932303639e-05
distracted,-5.469015559356194e-07,-4.243484580547374e-05,-4.1887944249538125e-05,4.1887944249538125e-05
restless,1.245098030585723e-05,5.008008668482944e-05,3.7629106378972215e-05,3.7629106378972215e-05
attentive,1.2486573958994995e-05,2.3915172703709685e-05,1.142859874471469e-05,1.142859874471469e-05
insightful,8.860780427130521e-05,9.391087178846646e-05,5.303067517161255e-06,5.303067517161255e-06
oriented,-8.768614626205818e-06,-3.5097815589324453e-06,5.258833067273372e-06,5.258833067273372e-06
coherent,-0.00016313342584817293,-0.00015803148333361604,5.101942514556884e-06,5.101942514556884e-06
logical,-1.7357971378260118e-06,-5.5906375928316266e-06,-3.854840455005615e-06,3.854840455005615e-06
guarded,-3.291898793349901e-06,2.2802091575613303e-07,3.5199197091060343e-06,3.5199197091060343e-06
cooperative,-6.361929865306592e-06,-5.155186815954949e-06,1.2067430493516436e-06,1.2067430493516436e-06
neat,-7.274335343097959e-06,-6.5756557457063995e-06,6.986795973915598e-07,6.986795973915598e-07
slowed,1.0242041069261631e-06,1.5836818336083524e-06,5.594777266821893e-07,5.594777266821893e-07
