adjective,sae_mean,aae_mean,delta_aae_minus_sae,abs_delta
anxious,-0.005226470544934273,-0.003992688238620758,0.0012337823063135146,0.0012337823063135146
depressed,-0.006030492916703224,-0.005449239671230316,0.000581253245472908,0.000581253245472908
confused,-0.004000250928103924,-0.0037923143804073334,0.00020793654769659048,0.00020793654769659048
calm,-0.00799307522457093,-0.007955734442453831,3.7340782117098806e-05,3.7340782117098806e-05
logical,-1.7208750708959997e-05,-1.5768717901664787e-05,1.4400328072952103e-06,1.4400328072952103e-06
neat,-2.0247889799065888e-05,-1.9667610598844476e-05,5.80279200221412e-07,5.80279200221412e-07
slowed,-4.547806587652304e-06,-4.258405824657529e-06,2.894007629947743e-07,2.894007629947743e-07
